,,,,,,,,,
,,,BANDHA SEQUENCES(better morning),,,inhale and exhale bandhas,,,
,,sequence 1,vajroli-1,inhale bandhas,agni sara(prep),inhale/exhale bandhas -10-5,inhale/exhale bandhas -12-6,inhale/exhale bandhas -14-7,inhale/exhale bandhas -16-8
,dharmikasana,sparsh  lower-3x,ek pada utanasana,"vaj, mayurasana, ashwini",vaj,"in-mula, jalandhara, 8","in-mula, jalandhara, 8","in-mula, jalandhara, 8","in-mula, jalandhara, 8"
,suptha vajrasana,"kriya -3x, hasta mudras 3x",palms on floor,inhale  ,whoosh,hold 10,hold 12,hold 14,hold 16
,vajrasana,hastha mudras with sound 3x ,whoosh,aprakasha,pump in and out,"whoosh-exhale-bandha trayama-udiyana, moola, jalandhara)","whoosh-exhale-bandha trayama-udiyana, moola, jalandhara)","whoosh-exhale-bandha trayama-udiyana, moola, jalandhara)","whoosh-exhale-bandha trayama-udiyana, moola, jalandhara)"
,,nishpanda,head to knee,moola bandha,exhale bandhas,hold 5,hold 6,hold 7,hold 8
,,makarsana,,jalandhara bandha,"inhale, exhale","repeat 3x,Mukha bastrika, Dharmika, Suptha Vaj","repeat 3x,Mukha bastrika, Dharmika, Suptha Vaj","repeat 3x,Mukha bastrika, Dharmika, Suptha Vaj","repeat 3x,Mukha bastrika, Dharmika, Suptha Vaj"
,"pratibhalasana - dandasana, hands on floor behind u, lift buttocks",bhujangasana,apply bandhas ,hold for 10,apply all 3 bandhas ,sarvangasana -all 3,viparita karani - all 3,,
,navasana ,shashankasana,,release,udiyana,,,,
,badakonasana,vajrasana,vajroli-2,inhale  ,moola,,,,
,kurmasana ,sparsh  mid-3x,"uttansana, navsana",aprakasha,jalandhara,,,,
,dandasana,"kriya 3x, hasta mudras 3x",whoosh,moola bandha,hold ,,,,
,chicken wings -paschimottasana,hastha mudras with sound 3x ,catch ankles,jalandhara bandha,release,,,,
,shake hands clean air,nishpanda,"apply udiyana asana, moola bandha and jalandhara",hold for 12,,,,,
,shoulder to chin whoosh,makarsana,apply bandhas ,release,planks(automatic. udiyana),,,,
,chatuspada - walk around mat,bhujangasana,,,dissolve fears anxieties,,,,
,"cicrles with heart and circle w pelvis, figure 8 with heart",shashankasana,,,,,,,
,nagapoochi - shuffle up and down,vajrasana,,,,,,,
,nagapoochi - shuffle side to side,sparsh  upper-3x,,,,,,,
,,kriya 3x ,,,,,,,
,,hastha mudras with sound 3x ,,,,,,,
,,nishpanda,,,,,,,
,,makarsana,,,,,,,
,,bhujangasana,,,,,,,
,,shashankasana,,,,,,,
,,vajrasana,,,,,,,
,,sparsh mahat lower fsb(vyagraha),,,,,,,
,,sparsh mahat mid fsb(shalabh),,,,,,,
,,sparsh mahat upper fsb(chiruki),,,,,,,
,,AOM,,,,,,,
,,Brahma mudra,,,,,,,
,,kaya kriya with pranav ,,,,,,,