,"brains-kriyas, activate - music,satsang",,
brain,benefits,kriyas,control
frontal lobe,problem solving,"hatha, dharna, dhyana, surya nmaskar, swadyaya",
parietal,"touch,body awareness","kumbakas, body scan, marmastha, holding any pose",
occipital,sight ,ujjayi trataka,
temporal ,,"sound meditations, sabda dharans, bija mantras",
cerebellum,motor coordibation,"kriyas w mudras, pranayamas, visualizations, tree pose",
limbic,control emotions like happiness and sadness,"mudita, maitri, kshama - forgiveness",
neuro endocrine systen,homeo stasis,appropriate biochemical change ,hypothalamus control pituitary 
thymus,"immunity-lymph, spleen, lymph",anahata,
pineal,melatonin,,
adrenal,"metabolism-regulate carbs, protein etc",mooladhara,
pituitary ,"sexual reproductive, happiness ",swadishtana chakra,
pancreas ,insulin ,manipura chakra,orders liver to release glucose